POCO,BACIA,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,PROFUNDIDADE_VERTICAL_M,COTA_ALTIMETRICA_M,GEOLOGIA_FORMACAO_FINAL,X_UTM,Y_UTM,ELEVACAO
1-AB-1-SP,Paraná,-22.7792108333,-48.1822086111,,,,2585022.4462047573,4265531.703701968,465
1-API-1-PR,Paraná,-24.0839527777,-53.5267158333,,,,2262818.1494007204,3725389.797213028,319
1-AS-1-SP,Paraná,-22.5172363888,-47.5823369444,,,,2630354.064969171,4323153.314524312,602
1-AT-1-SP,Paraná,-22.6681205555,-47.8053666666,,,,2609535.314707875,4303297.9830103,475
1-AV-1-PR,Paraná,-23.0933333333,-51.9135597222,,,,2398517.045582303,3871545.696705196,491
1-BB-1-PR,Paraná,-24.7302688888,-52.0086988888,0.0,0.0,,2285699.5102235232,3905117.881390132,914
1-BN-1-SC,Paraná,-27.5128944444,-49.7557902777,,,,2182685.7661411883,4218309.239308278,912
1-BN-2-SC,Paraná,-27.521655,-49.7363530555,,,,2182769.788009923,4220637.770548904,915
1-CA-1-PR,Paraná,-24.5226277777,-51.3812658333,,,,2325940.0340422457,3967354.012118392,575
1-CA-2-PR,Paraná,-24.5024205555,-51.4187716666,,,,2325727.5316106426,3962776.01917102,545
1-CA-3-PR,Paraná,-24.5393005555,-51.3723905555,,,,2325186.688658649,3968749.85752846,573
1-CN-2-SC,Paraná,-26.1908388888,-50.3779397222,,,,2252105.966555132,4118625.1639973447,788
1-COST-1P-PR,Paraná,-24.6414994444,-51.9783533333,,833.3,,2292877.10862646,3906086.1076971926,761
1-CP-1-SP,Paraná,-23.3726655555,-48.3867130555,,,,2533132.1871312847,4260337.414818017,612
1-CS-2-PR,Paraná,-24.9810222222,-51.9438416666,,,,2271711.540370453,3918564.3192135226,924
1-DO-2-MS,Paraná,-22.1737766666,-54.9664786111,,,,2316025.262529865,3521340.076878025,406
1-DO-3-MS,Paraná,-22.3319808333,-54.8444741666,,,,2312181.018611118,3538552.0248628585,335
1-DO-4-MS,Paraná,-22.2530983333,-54.8251411111,,,,2317908.3461993784,3538440.422531046,360
1-ELPS-4-PR,Paraná,-24.7568163888,-52.0617377777,,859.8,,2281712.9901024243,3900090.03287204,905
1-ELPS-9-PR,Paraná,-24.7294652777,-51.7726161111,,956.0,,2295637.213802102,3930542.218962983,910
1-ES-1-RS,Paraná,-28.1790113888,-51.1792219444,,,,2085095.1237826052,4078342.864052182,914
1-ES-2-RS,Paraná,-28.0942944444,-51.1527802777,,,,2091844.112207164,4079317.197262615,921
1-FR-1-SC,Paraná,-26.73294,-51.5324827777,,,,2170459.2792771496,4006429.399239589,1219
1-GB-1-PR,Paraná,-25.0192930555,-51.8921375,,,,2271300.397601085,3925120.961805674,889
1-GO-1-SC,Paraná,-26.38306,-52.7101963888,,,,2148029.7473406843,3870579.998656333,859
1-GP-1-PR,Paraná,-25.30592,-51.6583736111,,,,2261706.932376353,3957660.4623405607,916
1-GU-4-SP,Paraná,-23.3657694444,-48.2586372222,,,,2539084.2558610383,4274080.48096086,614
1-HV-1-SC,Paraná,-27.2162222222,-51.4642794444,,,,2140296.6795612853,4025258.8009329513,636
1-J-1-PR,Paraná,-23.2292088888,-49.9528536111,,,,2475845.247360919,4086432.767223852,607
1-JT-1-PR,Paraná,-23.4710905555,-49.9490030555,,,,2459135.6639906103,4093619.179403789,605
1-M-1-PR,Paraná,-25.8453466666,-50.7797105555,,,,2260289.7387864883,4066387.6727255816,854
1-M-1A-PR,Paraná,-25.8706522222,-50.7846402777,,,,2258354.5513387863,4066485.857883987,900
1-MA-1-RS,Paraná,-27.5871877777,-51.6638088888,,,,2107757.11855104,4012177.730744864,648
1-MA-1-SP,Paraná,-22.8202605555,-49.2755222222,,,,2534247.8271475174,4148077.3402603166,615
1-MB-1-SC,Paraná,-27.3253825,-50.7380425,,,,2159846.629678509,4106797.312038362,844
1-MC-1-RS,Paraná,-28.3524141666,-51.1133063888,,,,2075553.328497484,4089405.3054850423,914
1-MC-2-SC,Paraná,-26.5326155555,-51.1615280555,,,,2198313.877535455,4041867.626446108,1159
1-MO-1-PR,Paraná,-24.3736133333,-50.8769352777,,,,2357256.687871648,4017871.887402349,853
1-MO-2-PR,Paraná,-24.4360213888,-50.8773361111,,,,2352973.035968517,4019486.224137679,889
1-MR-1-PR,Paraná,-24.7343077777,-52.1127494444,,0.0,,2281067.9011595296,3894014.086549202,919
1-MR-1A-PR,Paraná,-24.7343077777,-52.1127494444,0.0,0.0,,2281067.9011595296,3894014.086549202,919
1-MV-1-SP,Paraná,-22.3965702777,-52.1601258333,,,,2433331.959894562,3825653.55654938,319
1-PA-1-SC,Paraná,-27.5947405555,-49.7330847222,,,,2177713.6526850574,4222707.111799757,941
1-PA-1-SP,Paraná,-22.4672727777,-49.1528475,,,,2564710.6278252755,4151124.510775812,607
1-PG-1-SP,Paraná,-22.5448161111,-47.6406263888,,,,2625777.426714606,4317616.304372817,621
1-PH-1-PR,Paraná,-25.8251869444,-51.5913525,,,,2229462.190265553,3977939.319753036,1100
1-PL-1-PR,Paraná,-24.8413661111,-52.2144577777,,,,2269717.3823413625,3885817.741806341,696
1-PT-1-PR,Paraná,-24.9320488888,-51.7529602777,,,,2282897.083214524,3937896.5501645617,920
1-QT-1-PR,Paraná,-23.6044691666,-49.9311705555,,,,2450590.164323773,4099254.149798018,609
1-R-1-PR,Paraná,-24.6231625,-50.8856911111,,,,2339826.379593975,4023528.210502693,953
1-RC-1-PR,Paraná,-26.0128716666,-50.7054805555,,,,2251672.0785625204,4078623.7515621344,730
1-RCA-1-PR,Paraná,-24.7504891666,-52.7364275,,,,2253763.994776942,3827329.5464001056,448
1-RCH-1-SC,Paraná,-26.6565686111,-52.0435127777,,,,2155933.516153846,3949215.648183923,924
1-RO-1-PR,Paraná,-24.6098194444,-52.2473655555,,,,2283640.46428314,3876300.880163132,624
1-RS-1-PR,Paraná,-25.7027927777,-52.1161091666,,,,2216623.772790258,3918171.579959682,737
1-RV-1-PR,Paraná,-24.6414136111,-51.9783775,,0.0,,2292881.801959342,3906081.275229248,761
1-SA-1-SP,Paraná,-23.2822861111,-49.4262633333,,,,2494982.5426446507,4144914.495979919,668
1-SE-1-SC,Paraná,-27.1441638888,-52.2990408333,,,,2113674.316410503,3933010.9705606895,656
1-SJ-1-PR,Paraná,-23.7830391666,-50.6650355555,,,,2406711.2578268982,4024843.998096876,1140
1-SJQ-1-SC,Paraná,-28.2717030555,-49.9172411111,,,,2123305.237983064,4218158.250570899,1315
1-TI-1-SP,Paraná,-22.3539741666,-51.6737161111,,,,2458507.732343157,3876475.202723639,360
1-TP-1-SC,Paraná,-26.7126594444,-51.4329958333,,,,2175643.0395436045,4016738.425528543,1219
1-TP-2-SC,Paraná,-26.7469325,-51.4973316666,,,,2170857.697646785,4010577.163214992,1219
1-TP-3-SC,Paraná,-26.7841138888,-51.4753263888,,,,2169180.043633458,4013852.202960168,1220
1-TV-2-SC,Paraná,-26.7363258333,-51.2978588888,,,,2179203.20012262,4031971.907624782,1219
1-TV-3-SC,Paraná,-26.7296713888,-51.3180486111,,,,2178884.6237454666,4029620.883703001,1217
1-TV-4-SC,Paraná,-26.7462063888,-51.3269197222,,,,2177421.0827271985,4029053.715348193,1210
2-AA-1-SP,Paraná,-22.3027541666,-50.0423872222,,,,2536332.788642704,4050244.852172832,546
2-AG-1-MT,Paraná,-16.9599030555,-53.5244569444,,,,2710433.8335154625,3513583.8984206254,801
2-AL-1-RS,Paraná,-29.8026013888,-55.7674397222,,,,1818231.8628474711,3614371.106599927,90
2-AL-1-SC,Paraná,-26.4506033333,-52.1819108333,,,,2164284.353818886,3929308.306302841,940
2-AM-1-MS,Paraná,-23.1101805555,-55.2373491666,,,,2246571.671125428,3517836.3439412285,502
2-AN-1-PR,Paraná,-23.8549280555,-53.8074569444,,,,2265019.7271896955,3689417.730906073,328
2-AO-1-RS,Paraná,-28.7018316666,-51.6651686111,,,,2032288.969793073,4036969.705469805,777
2-AP-1-PR,Paraná,-23.4972608333,-51.4219030555,,,,2393296.972259679,3935464.1248961342,622
2-AR-1-SP,Paraná,-21.1302869444,-50.3658941666,,,,2602251.838566889,3980587.0906083,384
2-CA-1-SC,Paraná,-26.860365,-50.8408288888,,,,2188076.5049084816,4084595.634498593,1107
2-CB-1-SP,Paraná,-22.3039416666,-52.0398586111,,,,2444972.172936592,3835878.880441283,340
2-CB-1DA-SP,Paraná,-22.3039333333,-52.0398655555,,,,2444972.4018083056,3835877.9010034422,340
2-CG-1-MS,Paraná,-20.4861330555,-54.7197938888,,,,2430614.9386555133,3499548.1280617546,526
2-CM-1-PR,Paraná,-24.1466686111,-52.4143511111,,,,2307019.8442517063,3846244.744815448,627
2-CN-1-SC,Paraná,-26.2696322222,-50.5193758333,,,,2241165.59328835,4105196.3515236992,835
2-CS-1-PR,Paraná,-24.9642441666,-51.968,,,,2271827.321519311,3915529.29244538,890
2-DO-1-MS,Paraná,-22.2678338888,-54.8134111111,,,,2317564.829905186,3540083.200659033,348
2-GU-3-SP,Paraná,-23.3435516666,-48.2049611111,,,,2542983.948371049,4279292.576533656,613
2-IT-1-RS,Paraná,-29.0170444444,-54.9924019444,,,,1893945.708648449,3682475.0664509255,314
2-JA-1-GO,Paraná,-17.8064936111,-51.7877277777,,,,2752550.0045515588,3723322.181632856,692
2-LA-1-SC,Paraná,-27.6301241666,-50.39583,,,,2151236.345191093,4151197.294057686,883
2-LA-1-SP,Paraná,-21.6546161111,-50.7934230555,,,,2546318.281253908,3950461.159394185,353
2-LI-1-SP,Paraná,-21.6931488888,-49.7559097222,,,,2591857.279355807,4063116.902256453,465
