POCO,CADASTRO,OPERADOR,POCO_OPERADOR,ESTADO,BACIA,BLOCO,SIG_CAMPO,CAMPO,TERRA_MAR,POCO_POS_ANP,TIPO,CATEGORIA,RECLASSIFICACAO,SITUACAO,INÍCIO,TÉRMINO,CONCLUSAO,TITULARIDADE,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,TIPO_DE_COORDENADA_DE_BASE,DIRECAO,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,REFERENCIA_DE_PROFUNDIDADE,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DATUM_VERTICAL,UNIDADE_ESTRATIGRAFICA,GEOLOGIA_GRUPO_FINAL,GEOLOGIA_FORMACAO_FINAL,GEOLOGIA_MEMBRO_FINAL,CDPE,AGP,PC,PAG,PERFIS_CONVENCIONAIS,DURANTE_PERFURACAO,PERFIS_DIGITAIS,PERFIS_PROCESSADOS,PERFIS_ESPECIAIS,AMOSTRA_LATERAL,SISMICA,TABELA_TEMPO_PROFUNDIDADE,DADOS_DIRECIONAIS,TESTE_A_CABO,TESTE_DE_FORMACAO,CANHONEIO,TESTEMUNHO,GEOQUIMICA,SIG_SONDA,NOM_SONDA,ATINGIU_PRESAL,DHA_ATUALIZACAO
1-A-1-BA,202400001500,3R Bahia,1A   0001  BA,BA,Recôncavo,A,A    ,ARATU,T,N,1 ,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO PERMANENTEMENTE,8/28/1941,2/15/1942,2/15/1942,Publico,"	-12:47:39,460","	-38:26:10,974","-12,7942944444","-38,4363816666",SIRGAS2000,Definitiva,Vertical,,1775.4,,MR,30,,,,,,,,,,,,,,,,,,,,,,,,,,SC-1                          ,,,5/3/2026
1-AA-1-RN,721000712200,,1AA  0001  RN,RN,Potiguar,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1/21/1984,1/29/1984,1/29/1984,Publico,"	-04:55:05,108","	-37:13:28,721","-4,9180855555","-37,2246447222",SIRGAS2000,Definitiva,Vertical,,1062,,MR,14,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,CC-1                          ,,,5/3/2026
1-AB-1-BA,202200153900,,1AB  0001  BA,BA,Tucano Central,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1/12/1964,2/21/1964,2/21/1964,Publico,"	-09:59:16,784","	-38:40:35,601","-9,9879955555","-38,6765558333",SIRGAS2000,Definitiva,Vertical,,1670,,MR,304.39999,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-53,SONDA CONVENCIONAL 53,,5/3/2026
1-AB-1-PA,600300063100,,1AB  0001  PA,PA,Amazonas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO,6/18/1990,7/16/1990,7/16/1990,Publico,"	-03:34:49,045","	-54:50:00,714","-3,5802902777","-54,8335316666",SIRGAS2000,Definitiva,Vertical,,1380,,MR,96,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SM-1                          ,,,5/3/2026
1-AB-1-SE,901200014800,,1AB  0001  SE,SE,Sergipe,Brasil,,,T,N,1 ,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,DEVOLVIDO,10/14/1963,10/17/1963,10/17/1963,Publico,"	-11:03:09,403","	-37:08:43,146","-11,0526119444","-37,1453183333",SIRGAS2000,Definitiva,Vertical,,195,,MR,8,,,,,,,,,,,,,,,,,,,,,,,,,,SC-61,SONDA CONVENCIONAL 61,,5/3/2026
1-AB-1-SP,863000708300,,1AB  0001  SP,SP,Paraná,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,10/4/1971,11/1/1971,11/1/1971,Publico,"	-22:46:45,159","	-48:10:55,951","-22,7792108333","-48,1822086111",SIRGAS2000,Definitiva,Vertical,,1659.5,,MR,502,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-60,SONDA CONVENCIONAL 60,,5/3/2026
1-AB-1A-SE,901200015200,,1AB  0001A SE,SE,Sergipe,Brasil,,,T,N,1 ,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,DEVOLVIDO,11/11/1963,6/30/1964,6/30/1964,Publico,"	-11:03:09,219","	-37:08:43,041","-11,0525608333","-37,1452891666",SIRGAS2000,Definitiva,Vertical,,3341.5,,MR,8,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,SC-61,SONDA CONVENCIONAL 61,,5/3/2026
1-AB-2-SE,901200062300,,1AB  0002  SE,SE,Sergipe,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,8/6/1969,10/22/1969,10/22/1969,Publico,"	-11:03:14,474","	-37:07:46,700","-11,0540205555","-37,1296388888",SIRGAS2000,Definitiva,Vertical,,2822,,MR,11,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,SC40,SONDA CONVENCIONAL 40,,5/3/2026
1-ABV-1D-RN,721000514700,PetroRecôncavo,1ABV 0001D RN,RN,Potiguar,BT-POT-9,PAT  ,PATATIVA,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,3/17/1997,5/23/1997,5/23/1997,Publico,"	-05:25:05,784","	-37:38:39,104","-5,4182733333","-37,6441955555",SIRGAS2000,Definitiva,Direcional,,3755,,MR,106,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-110,SONDA CONVENCIONAL 110,,5/3/2026
1-AC-1-PA,600300000800,,1AC  0001  PA,PA,Amazonas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO,4/25/1954,1/1/1955,1/1/1955,Publico,"	-02:31:16,398","	-54:58:31,269","-2,5212216666","-54,9753525",SIRGAS2000,Definitiva,Vertical,,3579.8,,MR,18,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,,SC-22,SONDA CONVENCIONAL 22,,5/3/2026
